Year,Month,SEA,Indonesia,Malaysia,Philippines,Thailand,Vietnam,NEA,China,"Hong Kong SAR, China",Japan,South Asia,Middle East,Oceania ,Europe,France,Germany,United Kingdom,North america,Other countries
2019,1,15114.76,5184.47,1770.68,1104.95,4619.42,1957.17,40393.82,14146.31,11207.62,6316.57,6362.35,4086.01,13374.85,10951.76,961.04,1314.79,2087.77,2053.87,541.06
2019,2,11720.69,3724.86,1392.96,914.11,3805.5,1414.97,28855.6,8426.83,7604.95,6002.41,6054.98,4237.86,9286.33,11829.44,994.94,1599.87,2421.18,1668.72,746.76
2019,3,15843.89,4981.78,1610.65,1050.35,5375.53,2366.28,43381.52,14760.2,12123.37,7408.85,6646.01,4726.23,11437.65,14249.78,1101.96,1634.35,2984.45,2698.12,666.95
2019,4,13757.12,3967.85,1260.28,965.71,4740.64,2490.06,35788.21,11573.9,10520.07,5860.25,5781.17,4279.6,7975.93,10536.87,540.66,1190.62,2049.53,2170.49,739.79
2019,5,15285.03,4610.2,1456.01,1025.07,5118,2527.43,37328.23,13149.54,10668.01,5491.19,6457.59,4431.57,12145.11,11681.94,647.92,1555.81,2394.09,2396.95,736.11
2019,6,13400.14,3261.71,1338.05,1005.71,4855.31,2372.61,38223.39,13418.2,10711.56,6364.14,6278.59,4158.25,9507.27,11802.92,664.83,1539,2527.52,2271.94,779.54
2019,7,14984.61,4214.66,1747.47,1086.84,4780.09,2540.03,39601.2,13599.35,11167.51,6652.13,6694.01,4828.42,9431.39,12538.71,634.93,1281.22,2571.84,2814.18,843.85
2019,8,14888.46,3799.49,1726.06,1145.41,5111.31,2432.1,40004.96,14528.63,11171.89,6026.14,6109.12,4506.59,10523.27,11948.17,627.87,1599.56,2540.61,2875.68,885.5
2019,9,15105.6,3930.12,2090.29,1115.62,4897.36,2395.82,39965.62,14794.78,11247.57,6136.85,6059.3,4586.2,9883.16,12741.89,687.81,1665.03,2341.65,2317.27,764.13
2019,10,16001.48,4178.07,2332.28,1162.64,5099.15,2632.77,41265.03,15112.93,11210.07,6336.98,6410,5066.26,9485.5,12615.74,666.07,1613.23,2685.57,2119.19,729.85
2019,11,14673.47,4091.01,1537.52,1003.38,4801.85,2668.61,43903.03,15983.05,11967.59,7355.81,5637.69,4714.49,10635.55,12500.79,1001.57,1492.82,2615.04,2114.57,735.8
2019,12,14552.55,4423.04,1579.29,887.82,4746.57,2350.35,41888.54,14722.27,11460.55,7074.35,5448.26,4726.2,11897.07,12265.26,1017.16,1537.91,2232.52,2236.44,629.61
2020,1,13898.08,4638.12,1496.67,852.37,4265.92,2142.41,37440.89,13690.85,9636.25,5875.73,5463.24,4302.97,10344.23,9810.29,912.21,1337.62,1886.75,1758.43,791.77
2020,2,14682.78,4626.43,1491.04,1120.59,4384.55,2505.02,28077.2,6314.46,6674.76,7124.1,6128.52,5213.82,9940.19,12071.42,1069,1795.48,2432.48,2348.4,749.84
2020,3,12714.61,4188.74,1514.6,853.35,3332.88,2441.55,36963.85,13081.32,9018.1,6657.1,4477.65,5834.65,9251.09,10877.05,572.67,1093.84,2434.35,2542.96,586.17
2020,4,4935.85,1445.8,542.75,540.98,340.07,1973.38,29894.71,11757.65,7887.89,2853.01,335.91,3941.16,4059.65,7917.59,0,1596.55,1052.91,1887.66,61.06
